"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"sce4","I Love Yoo! (DPulze)","Asian","4.6","(100+)","Cyberjaya",""
"f1y1","Nasi Ahmad(Cyberjaya)","Asian","4.5","(100+)","Cyberjaya",""
"o9bu","Jungle House (Cyberjaya)","Juice","4.6","(42)","Cyberjaya",""
"tghm","KAFE BERIANI GAM PUTRAJAYA CYBER","Briyani","4.5","(87)","Cyberjaya",""
"q5rr","Wong Solo (Cyberjaya)","Ayam Penyet","4.7","(3000+)","Cyberjaya",""
"fxb2","Cafe Delapan Huruf","Asian","5","(44)","Cyberjaya",""
"ctbn","Crisp n' Crave (Dpulze)","American","3.6","(2)","Cyberjaya",""
"xavy","Locca Cafe (Tamarind Square)","Malaysian","3.8","(75)","Cyberjaya",""
"qzzs","Pulun","Asian","4.3","(3)","Cyberjaya",""
"jbvg","RICHIAMO COFFEE CBD 3","Asian","3.8","(17)","Cyberjaya",""
"g7rx","Mami Kitchen","Laksa","4.6","(100+)","Cyberjaya",""
"wb35","Tea amo cafe","Malaysian","4.6","(100+)","Cyberjaya",""
"o9pn","Sushi King (D'Pulze)","Japanese","4.7","(3000+)","Cyberjaya",""
"iln8","Haruka Bakery (Dpulze Mall)","Cakes","4.8","(100+)","Cyberjaya",""
"s5nt","HOMST (Cyberjaya)","Malaysian","4.6","(2000+)","Cyberjaya",""
"w3fr","Mangkuk Ayam (Restoran Sana Sini)","Fried Chicken","4.5","(100+)","Cyberjaya",""
"c9tp","Restoran Sana Sini","Chicken","4.8","(100+)","Cyberjaya",""
"lgc5","Khacoff (Tamarind Square)","Healthy","4.7","(100+)","Cyberjaya",""
"auqj","Ateh Sate Kajang FM","Asian","3.9","(31)","Cyberjaya",""
"vj5t","Stuff'd (Dpulze)","Wraps","4.8","(100+)","Cyberjaya",""
"fwbf","FryDay's (Dpulze Cyberjaya)","Fried Chicken","4.6","(26)","Cyberjaya",""
"pfk2","La Famiglia Pasta @ Dpulze","Asian","5","(2)","Cyberjaya",""
"xfei","Madam Croffle (Dpulze Cyberjaya)","Desserts","4.8","(100+)","Cyberjaya",""
"k0ri","Pasta & Co. (D'Pulze)","Pasta","4.5","(100+)","Cyberjaya",""
"s5pf","Baskin-Robbins (D'pulze Shopping Centre)","Desserts","4.7","(500+)","Cyberjaya",""
"adut","Sambal Sambal (D’Pulze)","Asian","3.1","(16)","Cyberjaya",""
