"url","name","Price","listedOn","favorites","numberOfReviews"
"https://www.etsy.com/listing/1335429414/14k-id-valentino-baby-girl-bracelets?click_key=d7013eb9ef431fc230f010c70c65b05ed7f92094%3A1335429414&click_sum=478dd205&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-9-4&pro=1&frs=1","14K ID Valentino Baby Girl Bracelets - Personalized Bracelets - For kids - Babies - Tri color","$202.50+","Feb 3, 2024","183","7"
"https://www.etsy.com/listing/1144206627/space-thank-you-card-instant-download?click_key=e668055879860c605c31c7b5aeef0e650eb5d4a0%3A1144206627&click_sum=f573ca00&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-9-1&organic_search_click=1&pro=1&dd=1","SPACE Thank you card instant download, Space baby shower, Outer space birthday party thank you galaxy planets rockets star blast off blue","$3.30","Jan 15, 2024","40","4"
"https://www.etsy.com/listing/1034055467/kids-name-necklace-personalized-necklace?click_key=cc7dad919460ca19fdff90eb4afb846433b63ece%3A1034055467&click_sum=553d7d3e&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-9-3&pro=1&frs=1&bes=1","Kids Name Necklace, Personalized Necklace, Baby Necklace, Baby Gift, Silver, Rose Gold and Gold, XW10","$18.16+","Feb 10, 2024","2269","496"
"https://www.etsy.com/listing/1511499880/kids-kitchen-tower-3in1-learning-step?click_key=a08ee3ad1dbd9bc850bfadc0932299e68431b484%3A1511499880&click_sum=b2ce1387&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-9-2&pro=1&frs=1&sts=1","Kids kitchen tower 3in1 learning step stool desk slide montessori furniture helper tower foldable","$156.62+","Feb 9, 2024","339","27"
"https://www.etsy.com/listing/1593426253/toddler-busy-board-1-year-oldbusy?click_key=7db6453064db0c8f2db315e13101d3f0774c0da7%3A1593426253&click_sum=bae0751f&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-9-1&pro=1&frs=1&cns=1","Toddler busy board 1 year old,Busy boards,First Birthday Gift Baby,Montessori busy board,Busy board baby,Fast Free Shipping,Busy board kids","$94.50+","Oct 22, 2023",,
"https://www.etsy.com/listing/1474067234/mom-and-baby-svg-floral-mom-svg-mother?click_key=eff83c608e3a09a2e9eea6c3737fb3ba4c12f522%3A1474067234&click_sum=c32c09d9&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-10-1&organic_search_click=1&pro=1&dd=1","Mom and Baby svg, Floral Mom svg, Mother svg, Baby Silhouette, Files for Cricut","$2.16","Feb 9, 2024","59",
"https://www.etsy.com/listing/1556137226/baby-shower-word-scramble-with-answer?click_key=3be9c526ceb8e88797f25e0e4d349d6d11475585%3A1556137226&click_sum=6c571682&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-10-2&organic_search_click=1&pro=1&bes=1&sts=1&dd=1","Baby Shower Word Scramble with Answer Key | Baby Shower Games | Baby Shower Word Games | Baby Word Scramble | Editable Template | S1","$3.99","Feb 9, 2024","64","9"
"https://www.etsy.com/listing/1282922669/18k-gold-filled-baby-bracelet-birthstone?click_key=4785fc8dfe5d16cf2ebc8322969461b7dac1a56a%3A1282922669&click_sum=16edc10a&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-10-1&pro=1","18K Gold Filled Baby Bracelet, Birthstone Bracelet, Kids Bracelet, Girls Bracelet, Baptism Bracelet, Toddler Bracelet, Unisex Baby Bracelet","$22.50+","Feb 11, 2024","357","17"
"https://www.etsy.com/listing/1445018228/calling-all-party-animals-kid-and-baby?click_key=f5140a8d81ec7b2e964e9f905b36859971982cbc%3A1445018228&click_sum=555501a0&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-10-3&sts=1&dd=1","Calling All Party Animals Kid and Baby Birthday Party Invitation","$15.00","Jan 5, 2024","85","3"
"https://www.etsy.com/listing/1296933436/personalized-baby-duffle-bag-monogram?click_key=e70c3200869cad8cac42434b128b6fcd76bbebae%3A1296933436&click_sum=26fc2c0c&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-10-4&sts=1","Personalized Baby Duffle Bag | Monogram Seersucker Baby Bag | Monogrammed Baby Gifts for Boys | Kids Duffel Bag | Monogram Baby Travel Bag","$27.99","Feb 6, 2024","11","6"
"https://www.etsy.com/listing/1586198982/embroidered-name-beanie-hat-personalized?click_key=08249a8c8885cbb22238cd5024b88e5b26709958%3A1586198982&click_sum=73b60a58&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-10-2&bes=1","Embroidered Name Beanie Hat, Personalized Hat for Children, Kids Name Hat, Hat with Monogram, Fall Winter Outerwear, Unisex Toddler Hat","$25.00","Feb 10, 2024","587","90"
"https://www.etsy.com/listing/881976291/personalized-wooden-toy-car-push-car?click_key=846db08a22b9ac7dadb3d419480f2f5d56a953c8%3A881976291&click_sum=a9fc14b3&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-11-2&organic_search_click=1&pro=1&frs=1","Personalized Wooden Toy car - Push car - Kids Toy - Push car toy for stocking stuffer","$26.25+","Dec 29, 2023","65","8"
"https://www.etsy.com/listing/1440092997/twins-trivia-baby-shower-game-true-or?click_key=02a5dd8ef02892d8d47c812c5dfa1351b635bb32%3A1440092997&click_sum=ef548de4&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-11-1&organic_search_click=1&dd=1","TWINS TRIVIA! Baby Shower Game True or False Game Trivia Fun Twin Quiz Modern Minimalist Baby Shower Party Card Games Digital Download","$2.45","Jan 30, 2024","3",
"https://www.etsy.com/listing/1408511040/my-first-ramadan-personalise-eid-ramadan?click_key=ff9c8310dbd1830dc1af2ba5631db333bcf36aed%3A1408511040&click_sum=bd2f2241&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-11-4&pro=1","My First Ramadan Personalise | Eid Ramadan Mubarak Cute Baby Bodysuit Kids T-shirt Short Long Sleeve Sleepsuit  | Bodysuit  98","$10.26+","Feb 6, 2024","19","3"
"https://www.etsy.com/listing/1434834699/wooden-name-puzzle-personalized-toys-for?click_key=d82b7f3116645f275d94ed70e412ab6e58c2ca72%3A1434834699&click_sum=2200285f&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-11-3&pro=1&frs=1&bes=1&sts=1","Wooden Name Puzzle, Personalized Toys for Baby, New baby gift, Custom Baby Shower Gift, Toddler Toys, Kids Name Puzzle, Baby & toddler toys","$19.99+","Feb 9, 2024","391","58"
"https://www.etsy.com/listing/610932953/organic-world-explorer-play-mat-playmat?click_key=67e3640563491297fb361916836d769a9f751eb9%3A610932953&click_sum=964060b4&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-11-1&pro=1&frs=1&etp=1&sts=1","Organic World Explorer Play Mat - Playmat - Nursery Rug -Unisex - Neutral Baby Gift Shower - Nursery Decor - Kids Room - Now Ready to Ship","$83.38","Feb 9, 2024","7359","197"
"https://www.etsy.com/listing/1607682289/coolest-reindeer-at-the-pole-png?click_key=b308c6a7082c2fabfc1a78efd1d2ffb0ea9ed666%3A1607682289&click_sum=b027ce25&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-12-1&organic_search_click=1&pro=1&dd=1","Coolest Reindeer At The Pole Png, Christmas Boy shirt Png, Christmas Girl Png, Cutest Reindeer Png, Kids Christmas Shirt, Funny Christmas","$2.33","Jan 22, 2024","179","6"
"https://www.etsy.com/listing/1325833686/toddler-brown-plaid-cardigan-buttoned?click_key=4d5656f32fb3e23bee13d2ad86a3a962843745d2%3A1325833686&click_sum=3e96c1db&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-12-2&organic_search_click=1","Toddler Brown Plaid Cardigan, Buttoned Tartan Cardigan, Kids Beige Plaid Open Sweater, V-Neck Cardigan Toddler, Christmas Gift Toddler Boy","$32.00","Jan 21, 2024","204","8"
"https://www.etsy.com/listing/1063791026/new-born-gift-baby-name-anklet-baby?click_key=bae115e47e7d7393052c19503ae788d7e2c28418%3A1063791026&click_sum=393c9af6&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-11-2&pro=1&frs=1","New born gift Baby Name Anklet Baby Shower Gift Baby ID Anklet Kids Dainty Name Anklet Birthday Gift Name Bar Anklet","$20.00+","Jan 26, 2024","1164","180"
"https://www.etsy.com/listing/1413111731/growth-chart-height-marker-arrows-growth?click_key=66488074cdcb7e5637aa0aacb92a5337fb02acb4%3A1413111731&click_sum=2faa9bcb&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-12-4&pro=1&frs=1","Growth chart + Height Marker Arrows - growth chart for kids - baby shower gift - nursery wall decor","$34.37","Feb 8, 2024","716","34"
"https://www.etsy.com/listing/1304750355/besties-kids-shirtminimalist-friends?click_key=f049fe0c3baffc861162b72b1c711941b6e9c48c%3A1304750355&click_sum=50e462bc&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-12-2&pro=1","Besties Kids Shirt,Minimalist Friends Baseball Tee,Cute Toddler Shirt,Best Friend Kids Shirt,Baby Boy, For Girls, Best Friends,Besties Baby","$9.99+","Feb 1, 2024","66","20"
"https://www.etsy.com/listing/879167584/baby-knee-highs-bow-knee-highs-for?click_key=c47a60144a41c70cd51a3e014bb4091405a3c484%3A879167584&click_sum=74910cf3&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-12-3&sts=1","Baby Knee Highs | Bow Knee Highs For Babies Toddlers and Kids| Valentines Baby Socks | Girls Stockings | Infant Socks | Baby Accessories","$4.00+","Feb 4, 2024","229","67"
"https://www.etsy.com/listing/1651353454/montessori-bookshelf-personalized?click_key=90d2892004b834685b0a26d9fd7aeb7937ee3bb9%3A1651353454&click_sum=a3f5acab&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-12-1&pro=1&frs=1","Montessori Bookshelf, Personalized Nursery Furniture, Wooden Kid's Toddler Bookcase, Baby Bookshelf, Kids Room Decor, Baby Room Organization","$79.00+","Jan 30, 2024","21",
